Team ID,Full Name
PHW,Philadelphia Warriors
SFW,San Francisco Warriors
ROC,Rochester Royals
FTW,Fort Wayne Pistons
SYR,Syracuse Nationals
CHH,Charlotte Hornets (original)
NOJ,New Orleans Jazz
SEA,Seattle SuperSonics
KCK,Kansas City Kings
KCO,Kansas City–Omaha Kings
BUF,Buffalo Braves
SDC,San Diego Clippers
BRK,Brooklyn Nets
CHZ,Chicago Zephyrs
MNL,Minneapolis Lakers
WSB,Washington Bullets
VAN,Vancouver Grizzlies
CAP,Capital Bullets
CHP,Chicago Packers
NYN,New York Nets
NOK,New Orleans/Oklahoma City Hornets
NOH,New Orleans Hornets
NOP,New Orleans Pelicans
CHH,Charlotte Hornets
CHO,Charlotte Bobcats
SDR,San Diego Rockets
CIN,Cincinnati Royals
BAL,Baltimore Bullets
STL,St. Louis Hawks
